City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
217,richards bay,-28.783,32.0377,81.7,55,0,7.36,ZA,1713522117
218,kapuskasing,49.4169,-82.4331,36.77,87,100,7.94,CA,1713522117
219,wajir,1.7471,40.0573,93.16,49,75,6.91,KE,1713522118
220,pangai,-19.8,-174.35,78.75,77,81,18.99,TO,1713521901
221,diamantino,-14.4086,-56.4461,70.97,99,30,2.62,BR,1713522119
222,midvagur,62.0511,-7.1939,38.23,60,75,10.36,FO,1713522120
223,whitehorse,60.7161,-135.0538,25.11,90,67,5.48,CA,1713522121
224,hagere maryam,5.6333,38.2333,71.73,73,85,4.0,ET,1713521911
225,ghazni,33.5536,68.4269,47.57,79,100,4.29,AF,1713522122
226,shibushi,31.4667,131.105,62.33,60,100,1.41,JP,1713521831
227,happy valley-goose bay,53.3168,-60.3315,30.56,76,100,2.42,CA,1713522123
228,ribeira brava,32.65,-17.0667,72.01,79,24,6.8,PT,1713522124
229,vorkuta,67.5,64.0,5.11,81,40,10.0,RU,1713522125
230,zhuzhou,27.8333,113.15,77.13,82,52,8.39,CN,1713522125
231,spring creek,40.7266,-115.5859,34.3,48,78,4.94,US,1713522126
232,utrik,11.2278,169.8474,80.76,84,11,22.1,MH,1713522127
233,bechar,31.6167,-2.2167,77.32,18,40,17.27,DZ,1713522127
234,ciudad lazaro cardenas,17.9583,-102.2,71.47,87,1,3.15,MX,1713522029
235,barah,13.7,30.3667,106.63,4,7,17.22,SD,1713522007
236,kapa'a,22.0752,-159.319,73.38,89,75,19.57,US,1713522130
237,saint-philippe,-21.3585,55.7679,83.79,84,100,13.11,RE,1713522130
238,oguta,5.7089,6.8103,90.21,60,100,6.91,NG,1713521996
239,san antonio de pale,-1.4014,5.6325,83.7,81,99,9.69,GQ,1713522132
240,kralendijk,12.15,-68.2667,80.58,83,20,8.05,BQ,1713522132
241,tambura,5.6,27.4667,90.77,44,94,6.49,SS,1713522133
242,fort bragg,35.139,-79.006,62.82,90,20,4.61,US,1713521880
243,haenam,34.5711,126.5989,61.18,58,100,4.07,KR,1713522134
244,djamaa,33.5339,5.9931,71.4,37,48,13.47,DZ,1713521889
245,lycksele,64.5954,18.6735,33.44,43,100,10.36,SE,1713522135
246,plettenberg bay,-34.0527,23.3716,71.89,67,82,6.26,ZA,1713521847
247,paoua,7.2427,16.4406,100.62,26,93,6.87,CF,1713522136
248,luwuk,-0.9516,122.7875,81.32,89,67,1.05,ID,1713522137
249,obihiro,42.9172,143.2044,48.61,76,75,4.61,JP,1713522138
